cuda available: True
cuda device count: 1
[+] Running on cuda
Step 17400/30000 — loss 0.1305
Step 17500/30000 — loss 0.1176
Step 17600/30000 — loss 0.0047
Step 17700/30000 — loss 0.0057
Step 17800/30000 — loss 0.0791
Step 17900/30000 — loss 0.0075
Step 18000/30000 — loss 0.4457
Step 18100/30000 — loss 0.8516
Step 18200/30000 — loss 0.0458
Step 18300/30000 — loss 0.2992
Step 18400/30000 — loss 0.0026
Step 18500/30000 — loss 0.0772
Step 18600/30000 — loss 0.0031
Step 18700/30000 — loss 0.0130
Step 18800/30000 — loss 0.0035
Step 18900/30000 — loss 0.0622
Step 19000/30000 — loss 0.3797
Step 19100/30000 — loss 0.0083
Step 19200/30000 — loss 0.0060
Step 19300/30000 — loss 0.0413
Step 19400/30000 — loss 0.0211
Step 19500/30000 — loss 0.0272
Step 19600/30000 — loss 0.0162
Step 19700/30000 — loss 0.0050
Step 19800/30000 — loss 0.0070
Step 19900/30000 — loss 0.1293
Step 20000/30000 — loss 0.0014
[+] Saved ./lora-adapters-second-train/checkpoint-20000
Step 20100/30000 — loss 0.0145
Step 20200/30000 — loss 0.2031
Step 20300/30000 — loss 0.0168
Step 20400/30000 — loss 0.0078
Step 20500/30000 — loss 0.4051
Step 20600/30000 — loss 0.0165
Step 20700/30000 — loss 0.0436
Step 20800/30000 — loss 0.0203
Step 20900/30000 — loss 0.2599
Step 21000/30000 — loss 0.0240
Step 21100/30000 — loss 0.2788
Step 21200/30000 — loss 0.0576
Step 21300/30000 — loss 0.0041
Step 21400/30000 — loss 0.0080
Step 21500/30000 — loss 0.5610
Step 21600/30000 — loss 0.0613
Step 21700/30000 — loss 0.0469
Step 21800/30000 — loss 0.0053
Step 21900/30000 — loss 0.0030
Step 22000/30000 — loss 0.0134
Step 22100/30000 — loss 0.0966
Step 22200/30000 — loss 0.2783
Step 22300/30000 — loss 0.1347
Step 22400/30000 — loss 0.0030
Step 22500/30000 — loss 0.0430
Step 22600/30000 — loss 0.0103
Step 22700/30000 — loss 0.3114
Step 22800/30000 — loss 0.0020
Step 22900/30000 — loss 0.0066
Step 23000/30000 — loss 0.0044
Step 23100/30000 — loss 0.0816
Step 23200/30000 — loss 0.0742
Step 23300/30000 — loss 0.0487
Step 23400/30000 — loss 0.1903
Step 23500/30000 — loss 0.0024
Step 23600/30000 — loss 0.0101
Step 23700/30000 — loss 0.0141
Step 23800/30000 — loss 0.5454
Step 23900/30000 — loss 0.0133
Step 24000/30000 — loss 0.3399
Step 24100/30000 — loss 0.0493
Step 24200/30000 — loss 0.0027
Step 24300/30000 — loss 0.0695
Step 24400/30000 — loss 0.0196
Step 24500/30000 — loss 0.0128
Step 24600/30000 — loss 0.0012
Step 24700/30000 — loss 0.2061
Step 24800/30000 — loss 0.0033
Step 24900/30000 — loss 0.0664
Step 25000/30000 — loss 0.2183
[+] Saved ./lora-adapters-second-train/checkpoint-25000
Step 25100/30000 — loss 0.0048
Step 25200/30000 — loss 0.0562
Step 25300/30000 — loss 0.0038
Step 25400/30000 — loss 0.0039
Step 25500/30000 — loss 0.0131
Step 25600/30000 — loss 0.4488
Step 25700/30000 — loss 0.3776
Step 25800/30000 — loss 0.3884
Step 25900/30000 — loss 0.2655
Step 26000/30000 — loss 0.0065
Step 26100/30000 — loss 0.0024
Step 26200/30000 — loss 0.0737
Step 26300/30000 — loss 0.0033
Step 26400/30000 — loss 0.2816
Step 26500/30000 — loss 0.0036
Step 26600/30000 — loss 0.0667
Step 26700/30000 — loss 0.0024
Step 26800/30000 — loss 0.2670
Step 26900/30000 — loss 0.0097
Step 27000/30000 — loss 0.0103
Step 27100/30000 — loss 0.0084
Step 27200/30000 — loss 0.0132
Step 27300/30000 — loss 0.2273
Step 27400/30000 — loss 0.0097
Step 27500/30000 — loss 0.2950
Step 27600/30000 — loss 0.0050
Step 27700/30000 — loss 0.0036
Step 27800/30000 — loss 0.0056
Step 27900/30000 — loss 0.4604
Step 28000/30000 — loss 0.0144
Step 28100/30000 — loss 0.0032
Step 28200/30000 — loss 0.0015
Step 28300/30000 — loss 0.0161
Step 28400/30000 — loss 0.3664
Step 28500/30000 — loss 0.0034
Step 28600/30000 — loss 0.0054
Step 28700/30000 — loss 0.0159
Step 28800/30000 — loss 0.0062
Step 28900/30000 — loss 0.0135
Step 29000/30000 — loss 0.4142
Step 29100/30000 — loss 0.0606
Step 29200/30000 — loss 0.0112
Step 29300/30000 — loss 0.3969
Step 29400/30000 — loss 0.0190
Step 29500/30000 — loss 0.6126
Step 29600/30000 — loss 0.2434
Step 29700/30000 — loss 0.0010
Step 29800/30000 — loss 0.1893
Step 29900/30000 — loss 0.0205
Step 30000/30000 — loss 0.0561
[+] Saved ./lora-adapters-second-train/checkpoint-30000
[+] Done — outputs in ./lora-adapters-second-train
