cuda available: True
cuda device count: 1
[+] Running on cuda
Step 17400/30000 — loss 0.0074
Step 17500/30000 — loss 0.0055
Step 17600/30000 — loss 0.0077
Step 17700/30000 — loss 0.0916
Step 17800/30000 — loss 0.4032
Step 17900/30000 — loss 0.0774
Step 18000/30000 — loss 0.0332
Step 18100/30000 — loss 0.0869
Step 18200/30000 — loss 0.0039
Step 18300/30000 — loss 0.0361
Step 18400/30000 — loss 0.0091
Step 18500/30000 — loss 0.3367
Step 18600/30000 — loss 0.1276
Step 18700/30000 — loss 0.3261
Step 18800/30000 — loss 0.3617
Step 18900/30000 — loss 0.4783
Step 19000/30000 — loss 0.0326
Step 19100/30000 — loss 0.0456
Step 19200/30000 — loss 0.0236
Step 19300/30000 — loss 0.0074
Step 19400/30000 — loss 0.0621
Step 19500/30000 — loss 0.0036
Step 19600/30000 — loss 0.0504
Step 19700/30000 — loss 0.3456
Step 19800/30000 — loss 0.0132
Step 19900/30000 — loss 0.0055
Step 20000/30000 — loss 0.0019
[+] Saved ./lora-adapters-third-train/checkpoint-20000
Step 20100/30000 — loss 0.0417
Step 20200/30000 — loss 0.0149
Step 20300/30000 — loss 0.0087
Step 20400/30000 — loss 0.6201
Step 20500/30000 — loss 0.1304
Step 20600/30000 — loss 0.0039
Step 20700/30000 — loss 0.0297
Step 20800/30000 — loss 0.2793
Step 20900/30000 — loss 0.0152
Step 21000/30000 — loss 0.0011
Step 21100/30000 — loss 0.1822
Step 21200/30000 — loss 0.1102
Step 21300/30000 — loss 0.2479
Step 21400/30000 — loss 0.3934
Step 21500/30000 — loss 0.1986
Step 21600/30000 — loss 0.6786
Step 21700/30000 — loss 0.2869
Step 21800/30000 — loss 0.0062
Step 21900/30000 — loss 0.3577
Step 22000/30000 — loss 0.0366
Step 22100/30000 — loss 0.0358
Step 22200/30000 — loss 0.0635
Step 22300/30000 — loss 0.2101
Step 22400/30000 — loss 0.0312
Step 22500/30000 — loss 0.0106
Step 22600/30000 — loss 0.1638
Step 22700/30000 — loss 0.2781
Step 22800/30000 — loss 0.0326
Step 22900/30000 — loss 0.0074
Step 23000/30000 — loss 0.0149
Step 23100/30000 — loss 0.0827
Step 23200/30000 — loss 0.0970
Step 23300/30000 — loss 0.0224
Step 23400/30000 — loss 0.0463
Step 23500/30000 — loss 0.0267
Step 23600/30000 — loss 0.0124
Step 23700/30000 — loss 0.0783
Step 23800/30000 — loss 0.3635
Step 23900/30000 — loss 0.0089
Step 24000/30000 — loss 0.0045
Step 24100/30000 — loss 0.4581
Step 24200/30000 — loss 0.0207
Step 24300/30000 — loss 0.0034
Step 24400/30000 — loss 0.0384
Step 24500/30000 — loss 0.0723
Step 24600/30000 — loss 0.0984
Step 24700/30000 — loss 0.0058
Step 24800/30000 — loss 0.0089
Step 24900/30000 — loss 0.1274
Step 25000/30000 — loss 0.0024
[+] Saved ./lora-adapters-third-train/checkpoint-25000
Step 25100/30000 — loss 0.0393
Step 25200/30000 — loss 0.0395
Step 25300/30000 — loss 0.0618
Step 25400/30000 — loss 0.1005
Step 25500/30000 — loss 0.1272
Step 25600/30000 — loss 0.0044
Step 25700/30000 — loss 0.0074
Step 25800/30000 — loss 0.0784
Step 25900/30000 — loss 0.0210
Step 26000/30000 — loss 0.2480
Step 26100/30000 — loss 0.3336
Step 26200/30000 — loss 0.0246
Step 26300/30000 — loss 0.0221
Step 26400/30000 — loss 0.0107
Step 26500/30000 — loss 0.0089
Step 26600/30000 — loss 0.0288
