cuda available: True
cuda device count: 1
[+] Running on cuda
Step 17400/30000 — loss 0.0046
Step 17500/30000 — loss 0.1937
Step 17600/30000 — loss 0.0664
Step 17700/30000 — loss 0.0027
Step 17800/30000 — loss 0.3536
Step 17900/30000 — loss 0.0018
Step 18000/30000 — loss 0.0064
Step 18100/30000 — loss 0.0818
Step 18200/30000 — loss 0.0157
Step 18300/30000 — loss 0.1380
Step 18400/30000 — loss 0.0405
Step 18500/30000 — loss 0.0218
Step 18600/30000 — loss 0.2805
Step 18700/30000 — loss 0.2628
Step 18800/30000 — loss 0.0564
Step 18900/30000 — loss 0.0312
Step 19000/30000 — loss 0.0311
Step 19100/30000 — loss 0.0082
Step 19200/30000 — loss 0.3141
Step 19300/30000 — loss 0.0085
Step 19400/30000 — loss 0.1645
Step 19500/30000 — loss 0.0819
Step 19600/30000 — loss 0.1009
Step 19700/30000 — loss 0.0126
Step 19800/30000 — loss 0.0030
Step 19900/30000 — loss 0.3653
Step 20000/30000 — loss 0.0170
[+] Saved ./lora-adapters-second-train/checkpoint-20000
Step 20100/30000 — loss 0.0028
Step 20200/30000 — loss 0.0097
Step 20300/30000 — loss 0.0322
Step 20400/30000 — loss 0.0035
Step 20500/30000 — loss 0.0021
Step 20600/30000 — loss 0.0198
Step 20700/30000 — loss 0.0311
Step 20800/30000 — loss 0.1704
Step 20900/30000 — loss 0.1197
Step 21000/30000 — loss 0.0020
Step 21100/30000 — loss 0.0223
Step 21200/30000 — loss 0.4948
Step 21300/30000 — loss 0.4696
Step 21400/30000 — loss 0.0043
Step 21500/30000 — loss 0.0026
Step 21600/30000 — loss 0.4077
Step 21700/30000 — loss 0.2442
Step 21800/30000 — loss 0.0029
Step 21900/30000 — loss 0.0023
Step 22000/30000 — loss 0.0786
Step 22100/30000 — loss 0.0679
Step 22200/30000 — loss 0.4927
Step 22300/30000 — loss 0.0284
Step 22400/30000 — loss 0.0045
Step 22500/30000 — loss 0.0079
Step 22600/30000 — loss 0.0983
Step 22700/30000 — loss 0.0941
Step 22800/30000 — loss 0.2984
Step 22900/30000 — loss 0.0126
Step 23000/30000 — loss 0.0357
Step 23100/30000 — loss 0.0014
Step 23200/30000 — loss 0.0145
Step 23300/30000 — loss 0.4297
Step 23400/30000 — loss 0.0051
Step 23500/30000 — loss 0.0028
Step 23600/30000 — loss 0.0154
Step 23700/30000 — loss 0.0098
Step 23800/30000 — loss 0.0319
Step 23900/30000 — loss 0.0927
Step 24000/30000 — loss 0.2280
Step 24100/30000 — loss 0.0359
Step 24200/30000 — loss 0.0344
Step 24300/30000 — loss 0.0389
Step 24400/30000 — loss 0.0140
Step 24500/30000 — loss 0.0415
Step 24600/30000 — loss 0.0354
Step 24700/30000 — loss 0.2175
Step 24800/30000 — loss 0.0603
Step 24900/30000 — loss 0.3532
Step 25000/30000 — loss 0.0198
[+] Saved ./lora-adapters-second-train/checkpoint-25000
Step 25100/30000 — loss 0.0252
Step 25200/30000 — loss 0.1501
Step 25300/30000 — loss 0.0029
Step 25400/30000 — loss 0.0066
Step 25500/30000 — loss 0.3053
Step 25600/30000 — loss 0.1762
Step 25700/30000 — loss 0.0108
Step 25800/30000 — loss 0.0223
Step 25900/30000 — loss 0.0280
Step 26000/30000 — loss 0.0116
Step 26100/30000 — loss 0.4152
Step 26200/30000 — loss 0.3180
Step 26300/30000 — loss 0.1658
Step 26400/30000 — loss 0.0111
Step 26500/30000 — loss 0.0201
Step 26600/30000 — loss 0.0484
Step 26700/30000 — loss 0.0143
Step 26800/30000 — loss 0.0059
Step 26900/30000 — loss 0.0105
Step 27000/30000 — loss 0.0016
Step 27100/30000 — loss 0.0695
Step 27200/30000 — loss 0.2655
Step 27300/30000 — loss 0.1269
Step 27400/30000 — loss 0.0478
Step 27500/30000 — loss 0.0416
Step 27600/30000 — loss 0.1828
Step 27700/30000 — loss 0.2212
Step 27800/30000 — loss 0.0181
Step 27900/30000 — loss 0.0250
Step 28000/30000 — loss 0.0024
Step 28100/30000 — loss 0.2467
Step 28200/30000 — loss 0.0025
Step 28300/30000 — loss 0.0026
Step 28400/30000 — loss 0.0034
Step 28500/30000 — loss 0.0413
Step 28600/30000 — loss 0.0057
Step 28700/30000 — loss 0.3190
Step 28800/30000 — loss 0.0751
Step 28900/30000 — loss 0.4760
Step 29000/30000 — loss 0.0166
Step 29100/30000 — loss 0.0306
Step 29200/30000 — loss 0.2077
Step 29300/30000 — loss 0.0951
Step 29400/30000 — loss 0.1284
Step 29500/30000 — loss 0.0031
Step 29600/30000 — loss 0.0106
Step 29700/30000 — loss 0.0463
Step 29800/30000 — loss 0.0075
Step 29900/30000 — loss 0.1799
Step 30000/30000 — loss 0.0059
[+] Saved ./lora-adapters-second-train/checkpoint-30000
[+] Done — outputs in ./lora-adapters-second-train
