cuda available: True
cuda device count: 1
[+] Running on cuda
Step 17400/30000 — loss 0.0051
Step 17500/30000 — loss 0.0016
Step 17600/30000 — loss 0.1303
Step 17700/30000 — loss 0.1719
Step 17800/30000 — loss 0.1581
Step 17900/30000 — loss 0.0171
Step 18000/30000 — loss 0.1493
Step 18100/30000 — loss 0.0095
Step 18200/30000 — loss 0.6617
Step 18300/30000 — loss 0.0802
Step 18400/30000 — loss 0.0281
Step 18500/30000 — loss 0.0507
Step 18600/30000 — loss 0.0639
Step 18700/30000 — loss 0.0072
Step 18800/30000 — loss 0.3163
Step 18900/30000 — loss 0.0040
Step 19000/30000 — loss 0.0195
Step 19100/30000 — loss 0.0181
Step 19200/30000 — loss 0.0644
Step 19300/30000 — loss 0.0524
Step 19400/30000 — loss 0.1717
Step 19500/30000 — loss 0.0519
Step 19600/30000 — loss 0.0100
Step 19700/30000 — loss 0.1073
Step 19800/30000 — loss 0.2490
Step 19900/30000 — loss 0.0043
Step 20000/30000 — loss 0.0060
[+] Saved ./lora-adapters-second-train/checkpoint-20000
Step 20100/30000 — loss 0.0160
Step 20200/30000 — loss 0.0036
Step 20300/30000 — loss 0.0029
Step 20400/30000 — loss 0.0048
Step 20500/30000 — loss 0.5914
Step 20600/30000 — loss 0.3111
Step 20700/30000 — loss 0.2607
Step 20800/30000 — loss 0.2040
Step 20900/30000 — loss 0.2717
Step 21000/30000 — loss 0.0100
Step 21100/30000 — loss 0.3036
Step 21200/30000 — loss 0.1284
Step 21300/30000 — loss 0.0083
Step 21400/30000 — loss 0.1567
Step 21500/30000 — loss 0.0031
Step 21600/30000 — loss 0.5543
Step 21700/30000 — loss 0.3063
Step 21800/30000 — loss 0.0024
Step 21900/30000 — loss 0.0325
Step 22000/30000 — loss 0.2952
Step 22100/30000 — loss 0.0078
Step 22200/30000 — loss 0.0677
Step 22300/30000 — loss 0.1148
Step 22400/30000 — loss 0.0065
Step 22500/30000 — loss 0.0139
Step 22600/30000 — loss 0.3119
Step 22700/30000 — loss 0.0995
Step 22800/30000 — loss 0.0231
Step 22900/30000 — loss 0.3129
Step 23000/30000 — loss 0.0031
Step 23100/30000 — loss 0.0016
Step 23200/30000 — loss 0.0156
Step 23300/30000 — loss 0.3121
Step 23400/30000 — loss 0.2634
Step 23500/30000 — loss 0.0282
Step 23600/30000 — loss 0.0085
Step 23700/30000 — loss 0.0648
Step 23800/30000 — loss 0.0273
Step 23900/30000 — loss 0.0025
Step 24000/30000 — loss 0.0674
Step 24100/30000 — loss 0.0071
Step 24200/30000 — loss 0.0086
Step 24300/30000 — loss 0.0012
Step 24400/30000 — loss 0.0317
Step 24500/30000 — loss 0.0022
Step 24600/30000 — loss 0.0332
Step 24700/30000 — loss 0.0129
Step 24800/30000 — loss 0.4051
Step 24900/30000 — loss 0.0848
Step 25000/30000 — loss 0.0335
[+] Saved ./lora-adapters-second-train/checkpoint-25000
Step 25100/30000 — loss 0.0188
Step 25200/30000 — loss 0.0357
Step 25300/30000 — loss 0.0194
Step 25400/30000 — loss 0.0204
Step 25500/30000 — loss 0.0700
Step 25600/30000 — loss 0.0363
Step 25700/30000 — loss 0.4685
Step 25800/30000 — loss 0.0898
Step 25900/30000 — loss 0.5002
Step 26000/30000 — loss 0.0094
Step 26100/30000 — loss 0.0046
Step 26200/30000 — loss 0.0317
Step 26300/30000 — loss 0.0041
Step 26400/30000 — loss 0.0020
Step 26500/30000 — loss 0.0079
Step 26600/30000 — loss 0.3472
Step 26700/30000 — loss 0.0054
Step 26800/30000 — loss 0.0035
Step 26900/30000 — loss 0.0042
Step 27000/30000 — loss 0.0169
Step 27100/30000 — loss 0.2048
Step 27200/30000 — loss 0.0169
Step 27300/30000 — loss 0.2405
Step 27400/30000 — loss 0.0021
Step 27500/30000 — loss 0.5823
Step 27600/30000 — loss 0.3118
Step 27700/30000 — loss 0.0013
Step 27800/30000 — loss 0.0443
Step 27900/30000 — loss 0.0109
Step 28000/30000 — loss 0.1207
Step 28100/30000 — loss 0.0703
Step 28200/30000 — loss 0.1194
Step 28300/30000 — loss 0.0024
Step 28400/30000 — loss 0.0025
Step 28500/30000 — loss 0.0081
Step 28600/30000 — loss 0.0258
Step 28700/30000 — loss 0.1513
Step 28800/30000 — loss 0.0368
Step 28900/30000 — loss 0.0214
Step 29000/30000 — loss 0.0320
Step 29100/30000 — loss 0.0387
Step 29200/30000 — loss 0.0012
Step 29300/30000 — loss 0.0083
Step 29400/30000 — loss 0.0889
Step 29500/30000 — loss 0.0167
Step 29600/30000 — loss 0.0103
Step 29700/30000 — loss 0.0019
Step 29800/30000 — loss 0.1062
Step 29900/30000 — loss 0.2689
Step 30000/30000 — loss 0.0053
[+] Saved ./lora-adapters-second-train/checkpoint-30000
[+] Done — outputs in ./lora-adapters-second-train
