description,Beilagensalat,Regio Apfel,type,diet,mensa,image_path
Mensafood Vegetable‑filled cannelloni with cheese crust; tomato sauce; parsley pesto,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-07-02/mensa-flugplatz_essen-1.jpg
Mensafood Zucchini‑ricotta balls; red pepper ragout; pasta risotto,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_essen-1.jpg
Mensafood Turkey‑zucchini kofta; lentil rice with crispy onions; yoghurt sauce; tomato‑cucumber salad,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_essen-2.jpg
Mensafood Vegan filet strips; hummus; vegetable salad; flatbread,no,no,Daily dish,Vegan,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_tagesgericht.jpg
Mensafood Miso soup (vegetarian or with meat); baguette,no,no,Meal 3,Vegan on request,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_essen-3.jpg
Mensafood Mango‑wheat tabbouleh with herbs; avocado dip; seeded baguette,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_schneller-teller.jpg
Mensafood Potato pancakes with pea guacamole; herb yoghurt dip,no,no,Dinner 1,Vegetarian,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_abendessen-1.jpg
Mensafood Spaghetti with wheat‑vegetable Bolognese,no,no,Meal 1,Vegan,Mensa Littenweiler,images/2025-07-02/mensa-littenweiler_essen-1.jpg
Mensafood Mixed salad plate; cream cheese spread; baguette,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-07-01/mensa-flugplatz_essen-1.jpg
Mensafood Poultry pan gyros; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-07-01/mensa-flugplatz_essen-2.jpg
"Mensafood Falafel quinoa bowl with organic hummus, mojo dip, baked sweet potatoes, cauliflower salad, soy beans and cranberry red‑cabbage salad",no,no,Daily dish,Vegan,Mensa Rempartstrae,images/2025-07-01/mensa-rempartstrae_tagesgericht.jpg
Mensafood Lentil Bolognese with spaghetti; rocket pesto; grated hard cheese,no,no,Meal 1,Vegan on request,Mensa Flugplatz,images/2025-06-30/mensa-flugplatz_essen-1.jpg
Mensafood Tortellini filled with ricotta and spinach in lemon‑wild‑garlic sauce; burst tomatoes,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-06-30/mensa-rempartstrae_essen-1.jpg
"Mensafood Mixed salad with tomato, mozzarella and basil; baguette",no,no,Daily dish,Vegetarian,Mensa Rempartstrae,images/2025-06-30/mensa-rempartstrae_tagesgericht.jpg
Mensafood Rice pudding with peach compote and cinnamon sugar,no,no,Meal 3,Vegetarian,Mensa Flugplatz,images/2025-06-27/mensa-flugplatz_essen-3.jpg
"Mensafood Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",no,no,Weekly special,Non-vegetarian,Mensa Flugplatz,images/2025-06-27/mensa-flugplatz_wochenangebot.jpg
Mensafood Vegetable gnocchi pan with pink sauce; sheep’s cheese topping,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-06-27/mensa-rempartstrae_essen-1.jpg
Mensafood Älpler macaroni with organic smoked tofu and tomato sauce; rice pudding made with cow’s milk available as a refill,no,no,Quick plate,Vegan,Mensa Rempartstrae,images/2025-06-27/mensa-rempartstrae_schneller-teller.jpg
Mensafood Thick‑cut fries with surprise topping,no,no,Dinner 1,Vegetarian,Mensa Institutsviertel,images/2025-06-27/mensa-institutsviertel_abendessen-1.jpg
Mensafood Saag Dhansak – spinach and lentil curry; basmati rice; yoghurt dip; baguette,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-26/mensa-flugplatz_essen-1.jpg
Mensafood Chicken burger; avocado dip; rissolé potatoes,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-06-26/mensa-flugplatz_essen-2.jpg
Mensafood Stuffed peppers; lattice potatoes; Spanish beans,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-06-26/mensa-rempartstrae_essen-1.jpg
Mensafood Pancake with julienned vegetables; asparagus vegetable ragout,no,no,Quick plate,Vegetarian,Mensa Institutsviertel,images/2025-06-26/mensa-institutsviertel_schneller-teller.jpg
Mensafood Potato pancakes with apple sauce,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-25/mensa-flugplatz_essen-1.jpg
Mensafood Grönsaksbullar (vegetable meatballs) with tomato ragout; herb cheese spaetzle,no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-06-25/mensa-flugplatz_essen-2.jpg
Mensafood Vegetable lasagne with olives and sheep’s cheese; pesto,no,no,Daily dish,Vegetarian,Mensa Rempartstrae,images/2025-06-25/mensa-rempartstrae_tagesgericht.jpg
Mensafood Aglio spaghetti with sun‑dried tomatoes,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_schneller-teller.jpg
Mensafood Spaghetti with vegetable Bolognese; pesto; grated hard cheese,no,no,Meal 1,Vegan on request,Mensa Flugplatz,images/2025-06-24/mensa-flugplatz_essen-1.jpg
Mensafood Bernese‑style minced steak with pepper cream sauce; mashed potatoes; carrot‑pea vegetables,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-06-24/mensa-flugplatz_essen-2.jpg
Mensafood Fried organic tofu with tomato‑ginger chutney; Thai‑style noodles,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-06-24/mensa-rempartstrae_essen-1.jpg
Mensafood Italian pasta bake with vegetables; tomato sauce; herb pesto,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-23/mensa-flugplatz_essen-1.jpg
Mensafood Vegetarian sliced “meat” in creamy mushroom sauce; potato rösti; colourful pan‑fried vegetables,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-06-23/mensa-rempartstrae_essen-1.jpg
Mensafood Spaghetti Bolognese with organic beef; grated hard cheese,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-06-23/mensa-rempartstrae_essen-2.jpg
Mensafood Texas skillet with soy strips and red beans; paprika dip; country potatoes,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-06-21/mensa-rempartstrae_essen-1.jpg
Mensafood Köttbullar with cranberry sauce; rissolé potatoes; leafy salad,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-06-21/mensa-rempartstrae_essen-2.jpg
Mensafood Rice pudding with pear compote and cinnamon sugar,no,no,Meal 3,Vegetarian,Mensa Flugplatz,images/2025-06-20/mensa-flugplatz_essen-3.jpg
Mensafood Breaded pork schnitzel or vegetable schnitzel; roast gravy; French fries,no,no,Weekly special,Vegan on request,Mensa Flugplatz,images/2025-06-20/mensa-flugplatz_wochenangebot.jpg
Mensafood Thai curry with vegetables and soy; basmati rice; peanuts,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-06-20/mensa-rempartstrae_essen-1.jpg
"Mensafood Pasta “Tonno” with vegan tuna, tomatoes, vegetables and olives",no,no,Daily dish,Vegan,Mensa Rempartstrae,images/2025-06-20/mensa-rempartstrae_tagesgericht.jpg
"Mensafood Thick‑cut fries with vegetable‑soy Bolognese, chilli‑pepper cream, tomatoes, rocket and grated cheese",no,no,Weekly special,Vegan on request,Mensa Rempartstrae,images/2025-06-20/mensa-rempartstrae_wochenangebot.jpg
"Mensafood Mediterranean pasta salad with mozzarella, olives, sun‑dried tomatoes and basil; leafy salad; baguette",no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-18/mensa-flugplatz_essen-1.jpg
Mensafood Swiss‑chard and lentil curry with lemon leaves; basmati rice; cucumber dip; naan bread,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-06-17/mensa-flugplatz_essen-1.jpg
Mensafood Pork steak with herb butter; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-06-17/mensa-flugplatz_essen-2.jpg
Mensafood Organic asparagus spears with white sauce; vegetable schnitzel; new potatoes,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-06-16/mensa-flugplatz_essen-1.jpg
Mensafood Almond‑tofu ragout with mushrooms; homemade spaetzle,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-06-16/mensa-rempartstrae_essen-1.jpg
Mensafood Potato dumplings with cream sauce,no,no,Dinner 1,Vegan,Mensa Institutsviertel,images/2025-06-16/mensa-institutsviertel_abendessen-1.jpg
Mensafood Crispy chicken schnitzel with tomato sauce; fusilli,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-06-14/mensa-rempartstrae_essen-2.jpg
Mensafood Beetroot dumplings with feta cheese; feta risotto,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-13/mensa-flugplatz_essen-1.jpg
Mensafood Coalfish fillet in herb marinade; lemon cream; potato rösti; pea purée,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-06-13/mensa-rempartstrae_essen-2.jpg
Mensafood Pan of potato dumplings and vegetables; cream sauce; leafy salad,no,no,Daily dish,Vegetarian,Mensa Rempartstrae,images/2025-06-13/mensa-rempartstrae_tagesgericht.jpg
"Mensafood Cauliflower burger with harissa mayonnaise, aubergine and rocket; French fries",no,no,Daily dish,Vegan,Mensa Rempartstrae,images/2025-06-12/mensa-rempartstrae_tagesgericht.jpg
Mensafood Soy gyros; cucumber dip; French fries,no,no,Dinner 1,Vegan,Mensa Institutsviertel,images/2025-06-11/mensa-institutsviertel_abendessen-1.jpg
Mensafood Mixed salad plate “Monte Ziego” with goat cream‑cheese ball; simit bread,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-06/mensa-flugplatz_essen-1.jpg
Mensafood Fish fillet; herb potatoes; remoulade sauce,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-06-06/mensa-flugplatz_essen-2.jpg
Mensafood Rice pudding with fruit salad and cinnamon sugar,no,no,Meal 3,Vegetarian,Mensa Flugplatz,images/2025-06-06/mensa-flugplatz_essen-3.jpg
Mensafood Vegetable gnocchi pan with pink and white sauces; rocket pesto; grated hard cheese,no,no,Meal 1,Vegan on request,Mensa Flugplatz,images/2025-06-05/mensa-flugplatz_essen-1.jpg
Mensafood Organic asparagus spears with butter sauce; breaded pork schnitzel or vegetable schnitzel; new potatoes,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-06-05/mensa-flugplatz_essen-2.jpg
Mensafood Greek farmer’s salad with feta cheese; seeded baguette,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-04/mensa-flugplatz_essen-1.jpg
"Mensafood Cauliflower burger with harissa mayonnaise, aubergine and rocket; baked potato and sweet‑potato wedges",no,no,Meal 2,Vegan,Mensa Flugplatz,images/2025-06-04/mensa-flugplatz_essen-2.jpg
Mensafood Börek with spinach; carrot curry; pea purée,no,no,Dinner 1,Vegetarian,Mensa Institutsviertel,images/2025-06-04/mensa-institutsviertel_abendessen-1.jpg
Mensafood Vegetable Swabian dumplings baked with tomato and mozzarella; fried onions; rissolé potatoes,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-03/mensa-flugplatz_essen-1.jpg
Mensafood Potato gratin “Monte Ziego”; goat‑cheese dip,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-02/mensa-flugplatz_essen-1.jpg
Mensafood Coalfish fillet in tomato‑basil white‑wine sauce; potato gratin,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-05-30/mensa-flugplatz_essen-2.jpg
Mensafood Rice pudding with apple sauce and cinnamon sugar,no,no,Meal 3,Vegetarian,Mensa Flugplatz,images/2025-05-30/mensa-flugplatz_essen-3.jpg
Mensafood Roasted vegetable Swabian dumplings with onion sauce; potato‑cucumber salad,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-05-28/mensa-flugplatz_essen-1.jpg
Mensafood Lentil‑beetroot salad with halloumi and lemon cream; sweet‑potato pan with dates,no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-05-28/mensa-flugplatz_essen-2.jpg
Mensafood Roasted vegetables with pea guacamole,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-05-27/mensa-flugplatz_essen-1.jpg
"Mensafood Halloumi bowl with black lentils, beetroot dip, cucumber, papadam, tomato, olive, lemon bulgur and spicy onions",no,no,Daily dish,Vegetarian,Mensa Rempartstrae,images/2025-05-27/mensa-rempartstrae_tagesgericht.jpg
Mensafood Organic asparagus spears with white sauce and new potatoes,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-05-26/mensa-flugplatz_essen-1.jpg
Mensafood Pork cordon bleu with lemon jus; mashed potatoes; carrot‑pea vegetables,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-05-26/mensa-flugplatz_essen-2.jpg
Mensafood Tortellini filled with ricotta and spinach; asparagus vegetable ragout,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-05-23/mensa-flugplatz_essen-1.jpg
Mensafood Rice pudding with strawberry compote and cinnamon sugar,no,no,Meal 3,Vegetarian,Mensa Flugplatz,images/2025-05-23/mensa-flugplatz_essen-3.jpg
Mensafood Potato‑asparagus gratin with white sauce; dessert,no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-05-21/mensa-flugplatz_essen-2.jpg
"Mensafood Organic millet salad with vegetables, pumpkin seeds and cranberries; curry dip; flatbread",no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-05-20/mensa-institutsviertel_schneller-teller.jpg
Mensafood Puff‑pastry slice with feta‑style cheese and spinach; herb yoghurt dip; vegetable paella,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-05-19/mensa-flugplatz_essen-1.jpg
Mensafood Spicy vegetable coconut soup with organic tofu,no,no,Quick plate,Vegan,Mensa Rempartstrae,images/2025-05-19/mensa-rempartstrae_schneller-teller.jpg
Mensafood Cheese spaetzle with creamy mushroom sauce,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-05-14/mensa-flugplatz_essen-1.jpg
"Mensafood Bulgur salad with melon, organic tofu cubes and baby spinach; assorted baguettes",no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-05-14/mensa-flugplatz_essen-2.jpg
Mensafood Baked potato with pea guacamole and bean cream,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-05-13/mensa-flugplatz_essen-1.jpg
Mensafood Crispy chicken schnitzel with tomato ragout; fusilli; grated hard cheese,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-05-12/mensa-flugplatz_essen-2.jpg
Mensafood Samosa – filled pastry pockets; hoisin sauce; basmati rice; spinach leaves,no,no,Meal 1,Vegan,Mensa Littenweiler,images/2025-05-12/mensa-littenweiler_essen-1.jpg
Mensafood Sliced turkey in paprika sauce; mashed potatoes; creamed savoy cabbage,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-05-08/mensa-flugplatz_essen-2.jpg
"Mensafood Steamed yeast dumpling with vanilla sauce, poppy‑seed butter and apple sauce",no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-05-07/mensa-flugplatz_essen-1.jpg
Mensafood Sliced pork Zurich style; rissolé potatoes; herb pesto,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-05-06/mensa-flugplatz_essen-2.jpg
Mensafood Carrot‑coconut soup with seeded bread roll,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-05-06/mensa-institutsviertel_schneller-teller.jpg
Mensafood Penne all’arrabbiata; grated hard cheese,no,no,Quick plate,Vegan on request,Mensa Institutsviertel,images/2025-05-05/mensa-institutsviertel_schneller-teller.jpg
Mensafood Baked marinated feta cheese in parchment; vegetable salad; pea guacamole; flatbread,no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-04-30/mensa-flugplatz_essen-2.jpg
Mensafood Roasted chicken leg; herb yoghurt dip; French fries,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-04-29/mensa-flugplatz_essen-2.jpg
Mensafood Organic beef roast with red‑wine sauce; potato croquettes; red cabbage,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-04-29/mensa-rempartstrae_essen-2.jpg
"Mensafood Mixed salad with tomato, mozzarella and basil; Greek farmer’s salad; baguette",no,no,Meal 1,Vegan on request,Mensa Flugplatz,images/2025-04-28/mensa-flugplatz_essen-1.jpg
Mensafood Hungarian‑style goulash with organic beef; butter noodles,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-04-28/mensa-flugplatz_essen-2.jpg
Mensafood Breaded whiting fillet; tartar sauce; herb potatoes,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-04-25/mensa-flugplatz_essen-2.jpg
Mensafood Pork steak with onion‑mustard crust; cream sauce; homemade spaetzle; green beans,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-04-24/mensa-flugplatz_essen-2.jpg
Mensafood Vegetable patty with white sauce and fresh mushrooms; mashed potatoes; baby carrots,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-04-23/mensa-flugplatz_essen-1.jpg
Mensafood Apple strudel with vanilla sauce and sour‑cherry compote,no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-04-23/mensa-flugplatz_essen-2.jpg
Mensafood Pan of potato dumplings and vegetables with white sauce; pesto,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-04-22/mensa-flugplatz_essen-1.jpg
Mensafood Red noodle curry with lentils and pineapple,no,no,Quick plate,Vegan,Mensa Rempartstrae,images/2025-04-15/mensa-rempartstrae_schneller-teller.jpg
Mensafood Organic beef roast with red‑wine sauce; homemade spaetzle; red cabbage,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-04-12/mensa-rempartstrae_essen-2.jpg
Mensafood Mini spring rolls; sweet‑and‑sour sauce; long‑grain rice,no,no,Meal 2,Vegan,Mensa Flugplatz,images/2025-04-09/mensa-flugplatz_essen-2.jpg
Mensafood Roasted vegetable Swabian dumplings with egg; tomato sauce; potato‑cucumber salad,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-04-07/mensa-institutsviertel_essen-1.jpg
Mensafood Colourful tortellini with creamy cheese sauce,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-04-03/mensa-rempartstrae_essen-1.jpg
Mensafood Sliced soy in Zurich sauce; rigatoni; baby carrots,no,no,Meal 1,Vegan,Mensa Institutsviertel,images/2025-03-17/mensa-institutsviertel_essen-1.jpg
"Mensafood Mediterranean bowl: olives, basil, zucchini, bean cream, pesto, organic couscous with vegetables, Ebly soft wheat, diced tomatoes",no,no,Meal 2,Vegan,Mensa Institutsviertel,images/2025-03-12/mensa-institutsviertel_essen-2.jpg
Mensafood Lentil balls with sesame dip; organic baked potatoes; California coleslaw,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-03-07/mensa-rempartstrae_essen-1.jpg
Mensafood Chickpea polenta with ratatouille; sheep’s cheese with mint,no,no,Meal 1,Vegetarian,Mensa Littenweiler,images/2024-05-22/mensa-littenweiler_essen-1.jpg
