description,Beilagensalat,Regio Apfel,type,diet,mensa,image_path
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Institutsviertel,images/2025-07-07/mensa-institutsviertel_essen-3.jpg
Superfood Salat mit Bio Rauchertofu,no,no,Schneller Teller,Vegan,Mensa Institutsviertel,images/2025-07-07/mensa-institutsviertel_schneller-teller.jpg
Dicke Fritten Chilli von Erbsenprotein Jalapenos Rucola Knoblauchol Peperoniol Geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-07-07/mensa-institutsviertel_wochenangebot.jpg
Sojagyros Zaziki Gemusereis Karotten-Krautsalat,no,no,Essen 1,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-07-05/mensa-rempartstrae_essen-1.jpg
Falafel Mangochutney Gebratener Gemusereis Nasi Goreng,no,no,Essen 1,Vegan,Mensa Flugplatz,images/2025-07-04/mensa-flugplatz_essen-1.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-07-04/mensa-flugplatz_wochenangebot.jpg
Mangold-Linsencurry mit Zitronenblattern Basmatireis Naan Brot,no,no,Essen 1,Vegan,Mensa Rempartstrae,images/2025-07-04/mensa-rempartstrae_essen-1.jpg
Dicke Fritten Pulled Pork oder planted pulled BBQ Ranch Dip Karotten-Krautsalat,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Rempartstrae,images/2025-07-04/mensa-rempartstrae_wochenangebot.jpg
Falafel Mangochutney Gebratener Gemusereis Nasi Goreng,no,no,Essen 1,Vegan,Mensa Institutsviertel,images/2025-07-04/mensa-institutsviertel_essen-1.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-07-04/mensa-institutsviertel_wochenangebot.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Littenweiler,images/2025-07-04/mensa-littenweiler_wochenangebot.jpg
Rigatoni Spargel-Gemuseragout Krauterpesto Geriebener Hartkase,no,no,Essen 1,Vegetarisch,Mensa Flugplatz,images/2025-07-03/mensa-flugplatz_essen-1.jpg
Misosuppe vegetarisch und mit Fleisch Baguette,no,no,Essen 3,Vegan auf Anfrage,Mensa Flugplatz,images/2025-07-03/mensa-flugplatz_essen-3.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-07-03/mensa-flugplatz_wochenangebot.jpg
Ravioli gefullt mit Ricotta und Spinat Pesto Perlgraupenrisotto Schafskase Topping Blattsalat,no,no,Essen 2,Vegetarisch,Mensa Rempartstrae,images/2025-07-03/mensa-rempartstrae_essen-2.jpg
Mango-Weizen Tabouleh mit Krautern Harissa-Dip Baguette,no,no,Schneller Teller,Vegan,Mensa Rempartstrae,images/2025-07-03/mensa-rempartstrae_schneller-teller.jpg
Dicke Fritten Pulled Pork oder planted pulled BBQ Ranch Dip Karotten-Krautsalat,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Rempartstrae,images/2025-07-03/mensa-rempartstrae_wochenangebot.jpg
Rigatoni Spargel-Gemuseragout Krauterpesto Geriebener Hartkase,no,no,Essen 1,Vegetarisch,Mensa Institutsviertel,images/2025-07-03/mensa-institutsviertel_essen-1.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-07-03/mensa-institutsviertel_wochenangebot.jpg
Zitronen-Krauternudeln mit Tomaten Ruccola und Basilikum Bio-Rauchertofu Tomatensugo Petersilienpesto,no,no,Essen 1,Vegan,Mensa Littenweiler,images/2025-07-03/mensa-littenweiler_essen-1.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Littenweiler,images/2025-07-03/mensa-littenweiler_essen-3.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Littenweiler,images/2025-07-03/mensa-littenweiler_wochenangebot.jpg
Cannelloni mit Gemuse und Kasekruste Tomatensauce Petersilienpesto,no,no,Essen 1,Vegetarisch,Mensa Flugplatz,images/2025-07-02/mensa-flugplatz_essen-1.jpg
Mini Fruhlingsrollen Sauce su-sauer Basmatireis,no,no,Essen 2,Vegan,Mensa Flugplatz,images/2025-07-02/mensa-flugplatz_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-07-02/mensa-flugplatz_essen-3.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-07-02/mensa-flugplatz_wochenangebot.jpg
Zucchini-Ricottaballchen Rotes Paprikaragout Pastasotto,no,no,Essen 1,Vegetarisch,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_essen-1.jpg
Puten-Zucchini-Kofte Linsen-Reis mit Rostzwiebeln Joghurtsauce Tomate-Gurke,no,no,Essen 2,Nicht-vegetarisch,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_essen-2.jpg
Vegane Filetstreifen Hummus Gemusesalat Fladenbrot,no,no,Tagesgericht,Vegan,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_tagesgericht.jpg
Dicke Fritten Pulled Pork oder planted pulled BBQ Ranch Dip Karotten-Krautsalat,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_wochenangebot.jpg
Cannelloni mit Gemuse und Kasekruste Tomatensauce Petersilienpesto,no,no,Essen 1,Vegetarisch,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_essen-1.jpg
Mini Fruhlingsrollen Sauce su-sauer Basmatireis,no,no,Essen 2,Vegan,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_essen-2.jpg
Misosuppe vegetarisch oder mit Fleisch Baguette,no,no,Essen 3,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_essen-3.jpg
Mango-Weizen Tabouleh mit Krautern Avocadodip Kornerbaguette,no,no,Schneller Teller,Vegan,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_schneller-teller.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_wochenangebot.jpg
Kartoffelpuffer Erbsen-Guacamole Krauter-Joghurtdip,no,no,Abendessen 1,Vegetarisch,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_abendessen-1.jpg
Spaghetti Weizen-Gemusebolognese,no,no,Essen 1,Vegan,Mensa Littenweiler,images/2025-07-02/mensa-littenweiler_essen-1.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Littenweiler,images/2025-07-02/mensa-littenweiler_essen-3.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Littenweiler,images/2025-07-02/mensa-littenweiler_wochenangebot.jpg
Bunter Salatteller Frischkasecreme Baguette,no,no,Essen 1,Vegetarisch,Mensa Flugplatz,images/2025-07-01/mensa-flugplatz_essen-1.jpg
Geflugel-Pfannengyros Joghurt-Gurkendip Pommes frites Weikraut-Karottensalat,no,no,Essen 2,Nicht-vegetarisch,Mensa Flugplatz,images/2025-07-01/mensa-flugplatz_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-07-01/mensa-flugplatz_essen-3.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-07-01/mensa-flugplatz_wochenangebot.jpg
Falafel Quinoa Bowl Bio Hummus Mojo Dip Gebackene Sukartoffeln Blumenkohlsalat Sojabohnen Cranberry-Rotkrautsalat,no,no,Tagesgericht,Vegan,Mensa Rempartstrae,images/2025-07-01/mensa-rempartstrae_tagesgericht.jpg
Dicke Fritten Pulled Pork oder planted pulled BBQ Ranch Dip Karotten-Krautsalat,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Rempartstrae,images/2025-07-01/mensa-rempartstrae_wochenangebot.jpg
Bunter Salatteller Frischkasecreme Baguette,no,no,Essen 1,Vegetarisch,Mensa Institutsviertel,images/2025-07-01/mensa-institutsviertel_essen-1.jpg
Geflugel-Pfannengyros Joghurt-Gurkendip Pommes frites Weikraut-Karottensalat,no,no,Essen 2,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-07-01/mensa-institutsviertel_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Institutsviertel,images/2025-07-01/mensa-institutsviertel_essen-3.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-07-01/mensa-institutsviertel_wochenangebot.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Littenweiler,images/2025-07-01/mensa-littenweiler_essen-3.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Littenweiler,images/2025-07-01/mensa-littenweiler_wochenangebot.jpg
Linsen-Bolognese Spaghetti Ruccolapesto Geriebener Hartkase,no,no,Essen 1,Vegan auf Anfrage,Mensa Flugplatz,images/2025-06-30/mensa-flugplatz_essen-1.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-06-30/mensa-flugplatz_essen-3.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-06-30/mensa-flugplatz_wochenangebot.jpg
Tortellini gefullt mit Ricotta und Spinat Zitronen-Barlauchsauce Geplatzte Tomaten,no,no,Essen 1,Vegetarisch,Mensa Rempartstrae,images/2025-06-30/mensa-rempartstrae_essen-1.jpg
Bunter Salat mit Tomate Mozzarella und Basilikum Baguette,no,no,Tagesgericht,Vegetarisch,Mensa Rempartstrae,images/2025-06-30/mensa-rempartstrae_tagesgericht.jpg
Dicke Fritten Pulled Pork oder planted pulled BBQ Ranch Dip Karotten-Krautsalat,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Rempartstrae,images/2025-06-30/mensa-rempartstrae_wochenangebot.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Institutsviertel,images/2025-06-30/mensa-institutsviertel_essen-3.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-06-30/mensa-institutsviertel_wochenangebot.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Littenweiler,images/2025-06-30/mensa-littenweiler_wochenangebot.jpg
Milchreis Pfirsichkompott Zimtzucker,no,no,Essen 3,Vegetarisch,Mensa Flugplatz,images/2025-06-27/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Flugplatz,images/2025-06-27/mensa-flugplatz_wochenangebot.jpg
Gemuse-Gnocchipfanne Pinksauce Schafskase Topping,no,no,Essen 1,Vegetarisch,Mensa Rempartstrae,images/2025-06-27/mensa-rempartstrae_essen-1.jpg
Alpler Makkaroni mit Bio Rauchtofu Tomatensauce Milchreis aus Kuhmilch gibt es am Nachschlag,no,no,Schneller Teller,Vegan,Mensa Rempartstrae,images/2025-06-27/mensa-rempartstrae_schneller-teller.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-06-27/mensa-rempartstrae_wochenangebot.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-06-27/mensa-institutsviertel_wochenangebot.jpg
Dicke Fritten mit Uberraschung,no,no,Abendessen 1,Vegetarisch,Mensa Institutsviertel,images/2025-06-27/mensa-institutsviertel_abendessen-1.jpg
Saag Dhansak - Spinat-Linsencurry Basmatireis Joghurtdip Baguette,no,no,Essen 1,Vegetarisch,Mensa Flugplatz,images/2025-06-26/mensa-flugplatz_essen-1.jpg
Hahnchenfleisch-Burger Avocadodip Risoleekartoffeln,no,no,Essen 2,Nicht-vegetarisch,Mensa Flugplatz,images/2025-06-26/mensa-flugplatz_essen-2.jpg
Misosuppe vegetarisch oder mit Fleisch Baguette,no,no,Essen 3,Vegan auf Anfrage,Mensa Flugplatz,images/2025-06-26/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Flugplatz,images/2025-06-26/mensa-flugplatz_wochenangebot.jpg
Gefullte Paprika Gitterkartoffeln Spanische Bohnen,no,no,Essen 1,Vegan,Mensa Rempartstrae,images/2025-06-26/mensa-rempartstrae_essen-1.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-06-26/mensa-rempartstrae_wochenangebot.jpg
Saag Dhansak - Spinat-Linsencurry Basmatireis Joghurtdip Baguette,no,no,Essen 1,Vegetarisch,Mensa Institutsviertel,images/2025-06-26/mensa-institutsviertel_essen-1.jpg
Hahnchenfleisch-Burger Avocadodip Risoleekartoffeln,no,no,Essen 2,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-06-26/mensa-institutsviertel_essen-2.jpg
Pfannkuchen Gemusestreifen Julienne Spargel-Gemuseragout,no,no,Schneller Teller,Vegetarisch,Mensa Institutsviertel,images/2025-06-26/mensa-institutsviertel_schneller-teller.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-06-26/mensa-institutsviertel_wochenangebot.jpg
Kartoffelpuffer Apfelmus,no,no,Essen 1,Vegetarisch,Mensa Flugplatz,images/2025-06-25/mensa-flugplatz_essen-1.jpg
Gronsaksbullar Tomatenragout Krauter-Kasespatzle,no,no,Essen 2,Vegetarisch,Mensa Flugplatz,images/2025-06-25/mensa-flugplatz_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-06-25/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Flugplatz,images/2025-06-25/mensa-flugplatz_wochenangebot.jpg
Gemuselasagne mit Oliven und Weikase Pesto,no,no,Tagesgericht,Vegetarisch,Mensa Rempartstrae,images/2025-06-25/mensa-rempartstrae_tagesgericht.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-06-25/mensa-rempartstrae_wochenangebot.jpg
Kartoffelpuffer Apfelmus,no,no,Essen 1,Vegetarisch,Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_essen-1.jpg
Gronsaksbullar Tomatenragout Krauter-Kasespatzle,no,no,Essen 2,Vegetarisch,Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_essen-2.jpg
Misosuppe vegetarisch oder mit Fleisch Baguette,no,no,Essen 3,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_essen-3.jpg
Aglio Spaghetti mit getrockneten Tomaten,no,no,Schneller Teller,Vegan,Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_schneller-teller.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_wochenangebot.jpg
Spaghetti Gemusebolognese Pesto Geriebener Hartkase,no,no,Essen 1,Vegan auf Anfrage,Mensa Flugplatz,images/2025-06-24/mensa-flugplatz_essen-1.jpg
Hacksteak Berner Art Pfeffer-Rahmsauce Kartoffelbrei Karotten-Erbsengemuse,no,no,Essen 2,Nicht-vegetarisch,Mensa Flugplatz,images/2025-06-24/mensa-flugplatz_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-06-24/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Flugplatz,images/2025-06-24/mensa-flugplatz_wochenangebot.jpg
Fried Bio-Tofu Tomaten-Ingwerchutney Nudeln Thai Art,no,no,Essen 1,Vegan,Mensa Rempartstrae,images/2025-06-24/mensa-rempartstrae_essen-1.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-06-24/mensa-rempartstrae_wochenangebot.jpg
Spaghetti Gemusebolognese Pesto Geriebener Hartkase,no,no,Essen 1,Vegan auf Anfrage,Mensa Institutsviertel,images/2025-06-24/mensa-institutsviertel_essen-1.jpg
Hacksteak Berner Art Pfeffer-Rahmsauce Kartoffelbrei Karotten-Erbsengemuse,no,no,Essen 2,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-06-24/mensa-institutsviertel_essen-2.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Institutsviertel,images/2025-06-24/mensa-institutsviertel_essen-3.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-06-24/mensa-institutsviertel_wochenangebot.jpg
Hamburger TS mit Rindfleisch Kase Tomate Salat Pommes frites,no,no,Abendessen 2,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-06-24/mensa-institutsviertel_abendessen-2.jpg
Italienischer Nudelauflauf mit Gemuse Tomatensauce Krauterpesto,no,no,Essen 1,Vegetarisch,Mensa Flugplatz,images/2025-06-23/mensa-flugplatz_essen-1.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Flugplatz,images/2025-06-23/mensa-flugplatz_essen-3.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Flugplatz,images/2025-06-23/mensa-flugplatz_wochenangebot.jpg
Vegetarisches Geschnetzeltes Champignon-Rahmsauce Kartoffelrosti Buntes Pfannengemuse,no,no,Essen 1,Vegetarisch,Mensa Rempartstrae,images/2025-06-23/mensa-rempartstrae_essen-1.jpg
Spaghetti Bolognese mit Bio-Rind Geriebener Hartkase,no,no,Essen 2,Nicht-vegetarisch,Mensa Rempartstrae,images/2025-06-23/mensa-rempartstrae_essen-2.jpg
Currywurst oder planted Currywurst Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-06-23/mensa-rempartstrae_wochenangebot.jpg
Italienischer Nudelauflauf mit Gemuse Tomatensauce Krauterpesto,no,no,Essen 1,Vegetarisch,Mensa Institutsviertel,images/2025-06-23/mensa-institutsviertel_essen-1.jpg
Pasta-Kreationen aus unserer eigenen Pasta-Manufaktur mit verschiedenen Saucen und Toppings,no,no,Essen 3,Vegan,Mensa Institutsviertel,images/2025-06-23/mensa-institutsviertel_essen-3.jpg
Dicke Fritten Chili con Carne Knoblauchol Peperoniol Geriebener Mozzarella,no,no,Wochenangebot,Nicht-vegetarisch,Mensa Institutsviertel,images/2025-06-23/mensa-institutsviertel_wochenangebot.jpg
Texaspfanne mit Sojastreifen und roten Bohnen Paprikadip Country Potatoes,no,no,Essen 1,Vegan,Mensa Rempartstrae,images/2025-06-21/mensa-rempartstrae_essen-1.jpg
Kottbullar Cranberrysauce Risoleekartoffeln Blattsalat,no,no,Essen 2,Nicht-vegetarisch,Mensa Rempartstrae,images/2025-06-21/mensa-rempartstrae_essen-2.jpg
Zitronen-Krauternudeln mit Tomaten Ruccola und Basilikum Bio-Rauchertofu Tomatensugo Petersilienpesto,no,no,Essen 1,Vegan,Mensa Flugplatz,images/2025-06-20/mensa-flugplatz_essen-1.jpg
Milchreis Birnenkompott Zimtzucker,no,no,Essen 3,Vegetarisch,Mensa Flugplatz,images/2025-06-20/mensa-flugplatz_essen-3.jpg
Paniertes Schweineschnitzel oder Gemuseschnitzel Bratensauce Pommes frites,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Flugplatz,images/2025-06-20/mensa-flugplatz_wochenangebot.jpg
Thai Curry mit Gemuse und Soja Basmatireis Erdnusse,no,no,Essen 1,Vegan,Mensa Rempartstrae,images/2025-06-20/mensa-rempartstrae_essen-1.jpg
Pasta \"Tonno\" mit veganem Thunfisch Tomaten Gemuse Oliven,no,no,Tagesgericht,Vegan,Mensa Rempartstrae,images/2025-06-20/mensa-rempartstrae_tagesgericht.jpg
Dicke Fritten Gemuse-Sojabolognese Chili-Paprikacreme Tomaten Ruccola geriebener Kase,no,no,Wochenangebot,Vegan auf Anfrage,Mensa Rempartstrae,images/2025-06-20/mensa-rempartstrae_wochenangebot.jpg
