description,Beilagensalat,Regio Apfel,type,diet,mensa,image_path
Thick fries chilli by pea protein jalapenos arugola knoblauchole pepperoniol grated kase,no,no,Weekly special,Vegan (on request),Mensa Flugplatz,images/2025-07-07/mensa-flugplatz_wochenangebot.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Rempartstrae,images/2025-07-07/mensa-rempartstrae_wochenangebot.jpg
Fulled peppers baked potato and suk potato slices of Spanish beans,no,no,Meal 1,Vegan,Mensa Institutsviertel,images/2025-07-07/mensa-institutsviertel_essen-1.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Institutsviertel,images/2025-07-07/mensa-institutsviertel_essen-3.jpg
Superfood salad with organic Raubertofu,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-07-07/mensa-institutsviertel_schneller-teller.jpg
Thick fries chilli by pea protein jalapenos arugola knoblauchole pepperoniol grated kase,no,no,Weekly special,Vegan (on request),Mensa Institutsviertel,images/2025-07-07/mensa-institutsviertel_wochenangebot.jpg
Sojagyros Zaziki Gemusereis Carrot Salad,no,no,Meal 1,Vegan (on request),Mensa Rempartstrae,images/2025-07-05/mensa-rempartstrae_essen-1.jpg
Falafel Mangochutney fried Gemusereis Nasi Goreng,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-07-04/mensa-flugplatz_essen-1.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Flugplatz,images/2025-07-04/mensa-flugplatz_wochenangebot.jpg
Mangold lens curry with lemon leaves basmatireis naan bread,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-07-04/mensa-rempartstrae_essen-1.jpg
Thick fries pulled pork or planted pulled bbq ranch dip carrot herb salad,no,no,Weekly special,Non‑vegetarian,Mensa Rempartstrae,images/2025-07-04/mensa-rempartstrae_wochenangebot.jpg
Falafel Mangochutney fried Gemusereis Nasi Goreng,no,no,Meal 1,Vegan,Mensa Institutsviertel,images/2025-07-04/mensa-institutsviertel_essen-1.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Institutsviertel,images/2025-07-04/mensa-institutsviertel_wochenangebot.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Littenweiler,images/2025-07-04/mensa-littenweiler_wochenangebot.jpg
Rigatoni asparagus-gemuseragout Krauterpesto grated hard case,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-07-03/mensa-flugplatz_essen-1.jpg
Miso soup vegetarian and with meat baguette,no,no,Meal 3,Vegan (on request),Mensa Flugplatz,images/2025-07-03/mensa-flugplatz_essen-3.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Flugplatz,images/2025-07-03/mensa-flugplatz_wochenangebot.jpg
Ravioli fulled with ricotta and spinach Pesto Perlbraupenrisotto sheep's box topping leaf salad,no,no,Meal 2,Vegetarian,Mensa Rempartstrae,images/2025-07-03/mensa-rempartstrae_essen-2.jpg
Mango wheat taboBouleh with herbs Harissa-Dip Baguette,no,no,Quick plate,Vegan,Mensa Rempartstrae,images/2025-07-03/mensa-rempartstrae_schneller-teller.jpg
Thick fries pulled pork or planted pulled bbq ranch dip carrot herb salad,no,no,Weekly special,Non‑vegetarian,Mensa Rempartstrae,images/2025-07-03/mensa-rempartstrae_wochenangebot.jpg
Rigatoni asparagus-gemuseragout Krauterpesto grated hard case,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-07-03/mensa-institutsviertel_essen-1.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Institutsviertel,images/2025-07-03/mensa-institutsviertel_wochenangebot.jpg
Lemon herbal noodles with tomatoes rocket and basil bio-smoking fofu tomatoensugo parsilia pesto,no,no,Meal 1,Vegan,Mensa Littenweiler,images/2025-07-03/mensa-littenweiler_essen-1.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Littenweiler,images/2025-07-03/mensa-littenweiler_essen-3.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Littenweiler,images/2025-07-03/mensa-littenweiler_wochenangebot.jpg
Cannelloni with a gem and casing tomato sauce parsilia pesto,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-07-02/mensa-flugplatz_essen-1.jpg
Mini spring rolls sauce SU-Sau basmati rice,no,no,Meal 2,Vegan,Mensa Flugplatz,images/2025-07-02/mensa-flugplatz_essen-2.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-07-02/mensa-flugplatz_essen-3.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Flugplatz,images/2025-07-02/mensa-flugplatz_wochenangebot.jpg
Zucchini-Ricottaballchen Red Paprikaragout Pastasotto,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_essen-1.jpg
Turkey-zucchini-kofte lens rice with rust onions yoghurt sauce tomato-cucumber,no,no,Meal 2,Non‑vegetarian,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_essen-2.jpg
Vegan fillet strips Hummus Gemusesalat flatbread,no,no,Daily dish,Vegan,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_tagesgericht.jpg
Thick fries pulled pork or planted pulled bbq ranch dip carrot herb salad,no,no,Weekly special,Non‑vegetarian,Mensa Rempartstrae,images/2025-07-02/mensa-rempartstrae_wochenangebot.jpg
Cannelloni with a gem and casing tomato sauce parsilia pesto,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_essen-1.jpg
Mini spring rolls sauce SU-Sau basmati rice,no,no,Meal 2,Vegan,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_essen-2.jpg
Miso soup vegetarian or with meat baguette,no,no,Meal 3,Vegan (on request),Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_essen-3.jpg
Mango wheat tabouleh with herbs avocadodip corner baguette,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_schneller-teller.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_wochenangebot.jpg
Potato buffer pea-guacamole herbly yoghurt dip,no,no,Dinner 1,Vegetarian,Mensa Institutsviertel,images/2025-07-02/mensa-institutsviertel_abendessen-1.jpg
Spaghetti wheat-gemusebolognese,no,no,Meal 1,Vegan,Mensa Littenweiler,images/2025-07-02/mensa-littenweiler_essen-1.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Littenweiler,images/2025-07-02/mensa-littenweiler_essen-3.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Littenweiler,images/2025-07-02/mensa-littenweiler_wochenangebot.jpg
Colorful salad plate fresh food cream baguette,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-07-01/mensa-flugplatz_essen-1.jpg
Fluglugel-Pfannengyros yogurt gurkendip French fries fries white karot salad,no,no,Meal 2,Non‑vegetarian,Mensa Flugplatz,images/2025-07-01/mensa-flugplatz_essen-2.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-07-01/mensa-flugplatz_essen-3.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Flugplatz,images/2025-07-01/mensa-flugplatz_wochenangebot.jpg
Falafel Quinoa Bowl Bio Hummus Mojo Dip Baked Sukarktols Flower cauliflower Soybeans of Cranberry red cabbage salad,no,no,Daily dish,Vegan,Mensa Rempartstrae,images/2025-07-01/mensa-rempartstrae_tagesgericht.jpg
Thick fries pulled pork or planted pulled bbq ranch dip carrot herb salad,no,no,Weekly special,Non‑vegetarian,Mensa Rempartstrae,images/2025-07-01/mensa-rempartstrae_wochenangebot.jpg
Colorful salad plate fresh food cream baguette,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-07-01/mensa-institutsviertel_essen-1.jpg
Fluglugel-Pfannengyros yogurt gurkendip French fries fries white karot salad,no,no,Meal 2,Non‑vegetarian,Mensa Institutsviertel,images/2025-07-01/mensa-institutsviertel_essen-2.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Institutsviertel,images/2025-07-01/mensa-institutsviertel_essen-3.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Institutsviertel,images/2025-07-01/mensa-institutsviertel_wochenangebot.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Littenweiler,images/2025-07-01/mensa-littenweiler_essen-3.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Littenweiler,images/2025-07-01/mensa-littenweiler_wochenangebot.jpg
Linsen-Bolognese Spaghetti Ruccolapesto grated hard case,no,no,Meal 1,Vegan (on request),Mensa Flugplatz,images/2025-06-30/mensa-flugplatz_essen-1.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-06-30/mensa-flugplatz_essen-3.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Flugplatz,images/2025-06-30/mensa-flugplatz_wochenangebot.jpg
Tortellini fulled with ricotta and spinach lemon barra garlic sauce bursting tomatoes,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-06-30/mensa-rempartstrae_essen-1.jpg
Colorful salad with Tomate Mozzarella and Basil Baguette,no,no,Daily dish,Vegetarian,Mensa Rempartstrae,images/2025-06-30/mensa-rempartstrae_tagesgericht.jpg
Thick fries pulled pork or planted pulled bbq ranch dip carrot herb salad,no,no,Weekly special,Non‑vegetarian,Mensa Rempartstrae,images/2025-06-30/mensa-rempartstrae_wochenangebot.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Institutsviertel,images/2025-06-30/mensa-institutsviertel_essen-3.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Institutsviertel,images/2025-06-30/mensa-institutsviertel_wochenangebot.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Littenweiler,images/2025-06-30/mensa-littenweiler_wochenangebot.jpg
Milky pity peach compote cinnamon sugar,no,no,Meal 3,Vegetarian,Mensa Flugplatz,images/2025-06-27/mensa-flugplatz_essen-3.jpg
Thick fries chili con carne Knoblauchol pepperoniol grated Mozzarella,no,no,Weekly special,Non‑vegetarian,Mensa Flugplatz,images/2025-06-27/mensa-flugplatz_wochenangebot.jpg
Gemuse gnocchi pan pinksauce sheep's box topping,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-06-27/mensa-rempartstrae_essen-1.jpg
Alpler macaroni with organic smoketofu tomato sauce milk rice made from cow's milk,no,no,Quick plate,Vegan,Mensa Rempartstrae,images/2025-06-27/mensa-rempartstrae_schneller-teller.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Rempartstrae,images/2025-06-27/mensa-rempartstrae_wochenangebot.jpg
Thick fries chili con carne Knoblauchol pepperoniol grated Mozzarella,no,no,Weekly special,Non‑vegetarian,Mensa Institutsviertel,images/2025-06-27/mensa-institutsviertel_wochenangebot.jpg
Thick fries with surprise,no,no,Dinner 1,Vegetarian,Mensa Institutsviertel,images/2025-06-27/mensa-institutsviertel_abendessen-1.jpg
Saag Dhansak - spinach lens curry basmatireis joghurtdip baguette,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-26/mensa-flugplatz_essen-1.jpg
Hahnchleisch-Burger Avocadodip Risk potatoes,no,no,Meal 2,Non‑vegetarian,Mensa Flugplatz,images/2025-06-26/mensa-flugplatz_essen-2.jpg
Miso soup vegetarian or with meat baguette,no,no,Meal 3,Vegan (on request),Mensa Flugplatz,images/2025-06-26/mensa-flugplatz_essen-3.jpg
Thick fries chili con carne Knoblauchol pepperoniol grated Mozzarella,no,no,Weekly special,Non‑vegetarian,Mensa Flugplatz,images/2025-06-26/mensa-flugplatz_wochenangebot.jpg
Fulled peppers grating potatoes Spanish beans,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-06-26/mensa-rempartstrae_essen-1.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Rempartstrae,images/2025-06-26/mensa-rempartstrae_wochenangebot.jpg
Saag Dhansak - spinach lens curry basmatireis joghurtdip baguette,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-06-26/mensa-institutsviertel_essen-1.jpg
Hahnchleisch-Burger Avocadodip Risk potatoes,no,no,Meal 2,Non‑vegetarian,Mensa Institutsviertel,images/2025-06-26/mensa-institutsviertel_essen-2.jpg
Pancakes Gemusesstrip Julienne Sparel Gemuseragout,no,no,Quick plate,Vegetarian,Mensa Institutsviertel,images/2025-06-26/mensa-institutsviertel_schneller-teller.jpg
Thick fries chili con carne Knoblauchol pepperoniol grated Mozzarella,no,no,Weekly special,Non‑vegetarian,Mensa Institutsviertel,images/2025-06-26/mensa-institutsviertel_wochenangebot.jpg
Potato buffer apple sauce,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-25/mensa-flugplatz_essen-1.jpg
Gronsaksaksbullar tomato ragout Krauter-Kasespatzle,no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-06-25/mensa-flugplatz_essen-2.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-06-25/mensa-flugplatz_essen-3.jpg
Thick fries chili con carne Knoblauchol pepperoniol grated Mozzarella,no,no,Weekly special,Non‑vegetarian,Mensa Flugplatz,images/2025-06-25/mensa-flugplatz_wochenangebot.jpg
Musela sagne with olives and white pesto,no,no,Daily dish,Vegetarian,Mensa Rempartstrae,images/2025-06-25/mensa-rempartstrae_tagesgericht.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Rempartstrae,images/2025-06-25/mensa-rempartstrae_wochenangebot.jpg
Potato buffer apple sauce,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_essen-1.jpg
Gronsaksaksbullar tomato ragout Krauter-Kasespatzle,no,no,Meal 2,Vegetarian,Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_essen-2.jpg
Miso soup vegetarian or with meat baguette,no,no,Meal 3,Vegan (on request),Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_essen-3.jpg
Aglio Spaghetti with dried tomatoes,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_schneller-teller.jpg
Thick fries chili con carne Knoblauchol pepperoniol grated Mozzarella,no,no,Weekly special,Non‑vegetarian,Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_wochenangebot.jpg
Spaghetti Gemusebolognese Pesto grated hard case,no,no,Meal 1,Vegan (on request),Mensa Flugplatz,images/2025-06-24/mensa-flugplatz_essen-1.jpg
Hacksteak Berner Art Pfeffer cream sauce potato porridge carrot inheritance,no,no,Meal 2,Non‑vegetarian,Mensa Flugplatz,images/2025-06-24/mensa-flugplatz_essen-2.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-06-24/mensa-flugplatz_essen-3.jpg
Thick fries chili con carne Knoblauchol pepperoniol grated Mozzarella,no,no,Weekly special,Non‑vegetarian,Mensa Flugplatz,images/2025-06-24/mensa-flugplatz_wochenangebot.jpg
Fried Bio-Tofu tomato-gingerchutney noodles thai art,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-06-24/mensa-rempartstrae_essen-1.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Rempartstrae,images/2025-06-24/mensa-rempartstrae_wochenangebot.jpg
Spaghetti Gemusebolognese Pesto grated hard case,no,no,Meal 1,Vegan (on request),Mensa Institutsviertel,images/2025-06-24/mensa-institutsviertel_essen-1.jpg
Hacksteak Berner Art Pfeffer cream sauce potato porridge carrot inheritance,no,no,Meal 2,Non‑vegetarian,Mensa Institutsviertel,images/2025-06-24/mensa-institutsviertel_essen-2.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Institutsviertel,images/2025-06-24/mensa-institutsviertel_essen-3.jpg
Thick fries chili con carne Knoblauchol pepperoniol grated Mozzarella,no,no,Weekly special,Non‑vegetarian,Mensa Institutsviertel,images/2025-06-24/mensa-institutsviertel_wochenangebot.jpg
Hamburger TS with beef kase tomato salad fries fries,no,no,Dinner 2,Non‑vegetarian,Mensa Institutsviertel,images/2025-06-24/mensa-institutsviertel_abendessen-2.jpg
Italian pasta casserole with a gemat tomato sauce herbly pesto,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-23/mensa-flugplatz_essen-1.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-06-23/mensa-flugplatz_essen-3.jpg
Thick fries chili con carne Knoblauchol pepperoniol grated Mozzarella,no,no,Weekly special,Non‑vegetarian,Mensa Flugplatz,images/2025-06-23/mensa-flugplatz_wochenangebot.jpg
Vegetarian sliced mushroom sauce potato rosti colorful pan,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-06-23/mensa-rempartstrae_essen-1.jpg
Spaghetti Bolognese with bio-beef grated hard case,no,no,Meal 2,Non‑vegetarian,Mensa Rempartstrae,images/2025-06-23/mensa-rempartstrae_essen-2.jpg
Currywurst or planted currywurst fries fries,no,no,Weekly special,Vegan (on request),Mensa Rempartstrae,images/2025-06-23/mensa-rempartstrae_wochenangebot.jpg
Italian pasta casserole with a gemat tomato sauce herbly pesto,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-06-23/mensa-institutsviertel_essen-1.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Institutsviertel,images/2025-06-23/mensa-institutsviertel_essen-3.jpg
Thick fries chili con carne Knoblauchol pepperoniol grated Mozzarella,no,no,Weekly special,Non‑vegetarian,Mensa Institutsviertel,images/2025-06-23/mensa-institutsviertel_wochenangebot.jpg
Texa pan with soy stripes and red beans Paprikadip Country Potatoes,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-06-21/mensa-rempartstrae_essen-1.jpg
Kottbullar cranberrys sauce risk potatoes leaf salad,no,no,Meal 2,Non‑vegetarian,Mensa Rempartstrae,images/2025-06-21/mensa-rempartstrae_essen-2.jpg
Lemon herbal noodles with tomatoes rocket and basil bio-smoking fofu tomatoensugo parsilia pesto,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-06-20/mensa-flugplatz_essen-1.jpg
Milk rice pear compote cinnamon sugar,no,no,Meal 3,Vegetarian,Mensa Flugplatz,images/2025-06-20/mensa-flugplatz_essen-3.jpg
Baundered pork snitzel or gemuseschnitzel roast sauce fries fries,no,no,Weekly special,Vegan (on request),Mensa Flugplatz,images/2025-06-20/mensa-flugplatz_wochenangebot.jpg
Thai curry with a gem and soy basmati rice peanut,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-06-20/mensa-rempartstrae_essen-1.jpg
"Pasta \ ""tonno \"" with vegan tuna tomato gemuse olives",no,no,Daily dish,Vegan,Mensa Rempartstrae,images/2025-06-20/mensa-rempartstrae_tagesgericht.jpg
Thick fries Gemuse-sojabolognese chili paprika cream tomatoes rocket grated kase,no,no,Weekly special,Vegan (on request),Mensa Rempartstrae,images/2025-06-20/mensa-rempartstrae_wochenangebot.jpg
Lemon herbal noodles with tomatoes rocket and basil bio-smoking fofu tomatoensugo parsilia pesto,no,no,Meal 1,Vegan,Mensa Institutsviertel,images/2025-06-20/mensa-institutsviertel_essen-1.jpg
Baundered pork snitzel or gemuseschnitzel roast sauce fries fries,no,no,Weekly special,Vegan (on request),Mensa Institutsviertel,images/2025-06-20/mensa-institutsviertel_wochenangebot.jpg
Baundered pork snitzel or gemuseschnitzel roast sauce fries fries,no,no,Weekly special,Vegan (on request),Mensa Littenweiler,images/2025-06-20/mensa-littenweiler_wochenangebot.jpg
Mediterraner Nudelsalat mit Mozzarella Oliven getr. Tomato basil leaf salad baguette,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-18/mensa-flugplatz_essen-1.jpg
Texa pan with soy stripes and red beans Paprikadip Country Potatoes,no,no,Meal 2,Vegan,Mensa Flugplatz,images/2025-06-18/mensa-flugplatz_essen-2.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-06-18/mensa-flugplatz_essen-3.jpg
Baundered pork snitzel or gemuseschnitzel roast sauce fries fries,no,no,Weekly special,Vegan (on request),Mensa Flugplatz,images/2025-06-18/mensa-flugplatz_wochenangebot.jpg
Thick fries Gemuse-sojabolognese chili paprika cream tomatoes rocket grated kase,no,no,Weekly special,Vegan (on request),Mensa Rempartstrae,images/2025-06-18/mensa-rempartstrae_wochenangebot.jpg
Mediterranean pasta salad with Mozzarella olives Tomato basil leaf salad baguette,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-06-18/mensa-institutsviertel_essen-1.jpg
Miso soup vegetarian or with meat baguette,no,no,Meal 3,Vegan (on request),Mensa Institutsviertel,images/2025-06-18/mensa-institutsviertel_essen-3.jpg
Aglio Spaghetti with dried tomatoes,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-06-18/mensa-institutsviertel_schneller-teller.jpg
Baundered pork snitzel or gemuseschnitzel roast sauce fries fries,no,no,Weekly special,Vegan (on request),Mensa Institutsviertel,images/2025-06-18/mensa-institutsviertel_wochenangebot.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Littenweiler,images/2025-06-18/mensa-littenweiler_essen-3.jpg
Baundered pork snitzel or gemuseschnitzel roast sauce fries fries,no,no,Weekly special,Vegan (on request),Mensa Littenweiler,images/2025-06-18/mensa-littenweiler_wochenangebot.jpg
Mangold lens curry with lemon leaves basmatireis cucumber naan bread,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-06-17/mensa-flugplatz_essen-1.jpg
Pork steak herbser butter yoghurt cucumber fries frites fries white karottenalate,no,no,Meal 2,Non‑vegetarian,Mensa Flugplatz,images/2025-06-17/mensa-flugplatz_essen-2.jpg
Pasta creations from our own pasta manufacturer with various sauces and toppings,no,no,Meal 3,Vegan,Mensa Flugplatz,images/2025-06-17/mensa-flugplatz_essen-3.jpg
Baundered pork snitzel or gemuseschnitzel roast sauce fries fries,no,no,Weekly special,Vegan (on request),Mensa Flugplatz,images/2025-06-17/mensa-flugplatz_wochenangebot.jpg
Thick fries Gemuse-sojabolognese chili paprika cream tomatoes rocket grated kase,no,no,Weekly special,Vegan (on request),Mensa Rempartstrae,images/2025-06-17/mensa-rempartstrae_wochenangebot.jpg
Mangold lens curry with lemon leaves basmatireis cucumber naan bread,no,no,Meal 1,Vegan,Mensa Institutsviertel,images/2025-06-17/mensa-institutsviertel_essen-1.jpg
