description,Beilagensalat,Regio Apfel,type,diet,mensa,image_path
"Falafel quinoa bowl with organic hummus, mojo dip, baked sweet potatoes, cauliflower salad, soy beans and cranberry red‑cabbage salad",no,no,Daily dish,Vegan,Mensa Rempartstrae,images/2025-07-01/mensa-rempartstrae_tagesgericht.jpg
Lentil Bolognese with spaghetti; rocket pesto; grated hard cheese,no,no,Meal 1,Vegan on request,Mensa Flugplatz,images/2025-06-30/mensa-flugplatz_essen-1.jpg
Tortellini filled with ricotta and spinach in lemon‑wild‑garlic sauce; burst tomatoes,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-06-30/mensa-rempartstrae_essen-1.jpg
"Mixed salad with tomato, mozzarella and basil; baguette",no,no,Daily dish,Vegetarian,Mensa Rempartstrae,images/2025-06-30/mensa-rempartstrae_tagesgericht.jpg
Rice pudding with peach compote and cinnamon sugar,no,no,Meal 3,Vegetarian,Mensa Flugplatz,images/2025-06-27/mensa-flugplatz_essen-3.jpg
"Thick‑cut fries with chilli con carne, garlic oil, chilli oil and grated mozzarella",no,no,Weekly special,Non-vegetarian,Mensa Flugplatz,images/2025-06-27/mensa-flugplatz_wochenangebot.jpg
Vegetable gnocchi pan with pink sauce; sheep’s cheese topping,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-06-27/mensa-rempartstrae_essen-1.jpg
Älpler macaroni with organic smoked tofu and tomato sauce; rice pudding made with cow’s milk available as a refill,no,no,Quick plate,Vegan,Mensa Rempartstrae,images/2025-06-27/mensa-rempartstrae_schneller-teller.jpg
Thick‑cut fries with surprise topping,no,no,Dinner 1,Vegetarian,Mensa Institutsviertel,images/2025-06-27/mensa-institutsviertel_abendessen-1.jpg
Saag Dhansak – spinach and lentil curry; basmati rice; yoghurt dip; baguette,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-26/mensa-flugplatz_essen-1.jpg
Chicken burger; avocado dip; rissolé potatoes,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-06-26/mensa-flugplatz_essen-2.jpg
Stuffed peppers; lattice potatoes; Spanish beans,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-06-26/mensa-rempartstrae_essen-1.jpg
Pancake with julienned vegetables; asparagus vegetable ragout,no,no,Quick plate,Vegetarian,Mensa Institutsviertel,images/2025-06-26/mensa-institutsviertel_schneller-teller.jpg
Potato pancakes with apple sauce,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-25/mensa-flugplatz_essen-1.jpg
Grönsaksbullar (vegetable meatballs) with tomato ragout; herb cheese spaetzle,no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-06-25/mensa-flugplatz_essen-2.jpg
Vegetable lasagne with olives and sheep’s cheese; pesto,no,no,Daily dish,Vegetarian,Mensa Rempartstrae,images/2025-06-25/mensa-rempartstrae_tagesgericht.jpg
Aglio spaghetti with sun‑dried tomatoes,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-06-25/mensa-institutsviertel_schneller-teller.jpg
Spaghetti with vegetable Bolognese; pesto; grated hard cheese,no,no,Meal 1,Vegan on request,Mensa Flugplatz,images/2025-06-24/mensa-flugplatz_essen-1.jpg
Bernese‑style minced steak with pepper cream sauce; mashed potatoes; carrot‑pea vegetables,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-06-24/mensa-flugplatz_essen-2.jpg
Fried organic tofu with tomato‑ginger chutney; Thai‑style noodles,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-06-24/mensa-rempartstrae_essen-1.jpg
Italian pasta bake with vegetables; tomato sauce; herb pesto,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-23/mensa-flugplatz_essen-1.jpg
Vegetarian sliced “meat” in creamy mushroom sauce; potato rösti; colourful pan‑fried vegetables,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-06-23/mensa-rempartstrae_essen-1.jpg
Spaghetti Bolognese with organic beef; grated hard cheese,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-06-23/mensa-rempartstrae_essen-2.jpg
Texas skillet with soy strips and red beans; paprika dip; country potatoes,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-06-21/mensa-rempartstrae_essen-1.jpg
Köttbullar with cranberry sauce; rissolé potatoes; leafy salad,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-06-21/mensa-rempartstrae_essen-2.jpg
Rice pudding with pear compote and cinnamon sugar,no,no,Meal 3,Vegetarian,Mensa Flugplatz,images/2025-06-20/mensa-flugplatz_essen-3.jpg
Breaded pork schnitzel or vegetable schnitzel; roast gravy; French fries,no,no,Weekly special,Vegan on request,Mensa Flugplatz,images/2025-06-20/mensa-flugplatz_wochenangebot.jpg
Thai curry with vegetables and soy; basmati rice; peanuts,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-06-20/mensa-rempartstrae_essen-1.jpg
"Pasta “Tonno” with vegan tuna, tomatoes, vegetables and olives",no,no,Daily dish,Vegan,Mensa Rempartstrae,images/2025-06-20/mensa-rempartstrae_tagesgericht.jpg
"Thick‑cut fries with vegetable‑soy Bolognese, chilli‑pepper cream, tomatoes, rocket and grated cheese",no,no,Weekly special,Vegan on request,Mensa Rempartstrae,images/2025-06-20/mensa-rempartstrae_wochenangebot.jpg
"Mediterranean pasta salad with mozzarella, olives, sun‑dried tomatoes and basil; leafy salad; baguette",no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-18/mensa-flugplatz_essen-1.jpg
Swiss‑chard and lentil curry with lemon leaves; basmati rice; cucumber dip; naan bread,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-06-17/mensa-flugplatz_essen-1.jpg
Pork steak with herb butter; yoghurt‑cucumber dip; French fries; white‑cabbage carrot salad,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-06-17/mensa-flugplatz_essen-2.jpg
Organic asparagus spears with white sauce; vegetable schnitzel; new potatoes,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-06-16/mensa-flugplatz_essen-1.jpg
Almond‑tofu ragout with mushrooms; homemade spaetzle,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-06-16/mensa-rempartstrae_essen-1.jpg
Potato dumplings with cream sauce,no,no,Dinner 1,Vegan,Mensa Institutsviertel,images/2025-06-16/mensa-institutsviertel_abendessen-1.jpg
Crispy chicken schnitzel with tomato sauce; fusilli,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-06-14/mensa-rempartstrae_essen-2.jpg
Beetroot dumplings with feta cheese; feta risotto,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-13/mensa-flugplatz_essen-1.jpg
Coalfish fillet in herb marinade; lemon cream; potato rösti; pea purée,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-06-13/mensa-rempartstrae_essen-2.jpg
Pan of potato dumplings and vegetables; cream sauce; leafy salad,no,no,Daily dish,Vegetarian,Mensa Rempartstrae,images/2025-06-13/mensa-rempartstrae_tagesgericht.jpg
"Cauliflower burger with harissa mayonnaise, aubergine and rocket; French fries",no,no,Daily dish,Vegan,Mensa Rempartstrae,images/2025-06-12/mensa-rempartstrae_tagesgericht.jpg
Soy gyros; cucumber dip; French fries,no,no,Dinner 1,Vegan,Mensa Institutsviertel,images/2025-06-11/mensa-institutsviertel_abendessen-1.jpg
Mixed salad plate “Monte Ziego” with goat cream‑cheese ball; simit bread,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-06/mensa-flugplatz_essen-1.jpg
Fish fillet; herb potatoes; remoulade sauce,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-06-06/mensa-flugplatz_essen-2.jpg
Rice pudding with fruit salad and cinnamon sugar,no,no,Meal 3,Vegetarian,Mensa Flugplatz,images/2025-06-06/mensa-flugplatz_essen-3.jpg
Vegetable gnocchi pan with pink and white sauces; rocket pesto; grated hard cheese,no,no,Meal 1,Vegan on request,Mensa Flugplatz,images/2025-06-05/mensa-flugplatz_essen-1.jpg
Organic asparagus spears with butter sauce; breaded pork schnitzel or vegetable schnitzel; new potatoes,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-06-05/mensa-flugplatz_essen-2.jpg
Greek farmer’s salad with feta cheese; seeded baguette,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-04/mensa-flugplatz_essen-1.jpg
"Cauliflower burger with harissa mayonnaise, aubergine and rocket; baked potato and sweet‑potato wedges",no,no,Meal 2,Vegan,Mensa Flugplatz,images/2025-06-04/mensa-flugplatz_essen-2.jpg
Börek with spinach; carrot curry; pea purée,no,no,Dinner 1,Vegetarian,Mensa Institutsviertel,images/2025-06-04/mensa-institutsviertel_abendessen-1.jpg
Vegetable Swabian dumplings baked with tomato and mozzarella; fried onions; rissolé potatoes,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-03/mensa-flugplatz_essen-1.jpg
Potato gratin “Monte Ziego”; goat‑cheese dip,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-06-02/mensa-flugplatz_essen-1.jpg
Coalfish fillet in tomato‑basil white‑wine sauce; potato gratin,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-05-30/mensa-flugplatz_essen-2.jpg
Rice pudding with apple sauce and cinnamon sugar,no,no,Meal 3,Vegetarian,Mensa Flugplatz,images/2025-05-30/mensa-flugplatz_essen-3.jpg
Roasted vegetable Swabian dumplings with onion sauce; potato‑cucumber salad,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-05-28/mensa-flugplatz_essen-1.jpg
Lentil‑beetroot salad with halloumi and lemon cream; sweet‑potato pan with dates,no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-05-28/mensa-flugplatz_essen-2.jpg
Roasted vegetables with pea guacamole,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-05-27/mensa-flugplatz_essen-1.jpg
"Halloumi bowl with black lentils, beetroot dip, cucumber, papadam, tomato, olive, lemon bulgur and spicy onions",no,no,Daily dish,Vegetarian,Mensa Rempartstrae,images/2025-05-27/mensa-rempartstrae_tagesgericht.jpg
Organic asparagus spears with white sauce and new potatoes,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-05-26/mensa-flugplatz_essen-1.jpg
Pork cordon bleu with lemon jus; mashed potatoes; carrot‑pea vegetables,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-05-26/mensa-flugplatz_essen-2.jpg
Tortellini filled with ricotta and spinach; asparagus vegetable ragout,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-05-23/mensa-flugplatz_essen-1.jpg
Rice pudding with strawberry compote and cinnamon sugar,no,no,Meal 3,Vegetarian,Mensa Flugplatz,images/2025-05-23/mensa-flugplatz_essen-3.jpg
Potato‑asparagus gratin with white sauce; dessert,no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-05-21/mensa-flugplatz_essen-2.jpg
"Organic millet salad with vegetables, pumpkin seeds and cranberries; curry dip; flatbread",no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-05-20/mensa-institutsviertel_schneller-teller.jpg
Puff‑pastry slice with feta‑style cheese and spinach; herb yoghurt dip; vegetable paella,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-05-19/mensa-flugplatz_essen-1.jpg
Spicy vegetable coconut soup with organic tofu,no,no,Quick plate,Vegan,Mensa Rempartstrae,images/2025-05-19/mensa-rempartstrae_schneller-teller.jpg
Cheese spaetzle with creamy mushroom sauce,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-05-14/mensa-flugplatz_essen-1.jpg
"Bulgur salad with melon, organic tofu cubes and baby spinach; assorted baguettes",no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-05-14/mensa-flugplatz_essen-2.jpg
Baked potato with pea guacamole and bean cream,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-05-13/mensa-flugplatz_essen-1.jpg
Crispy chicken schnitzel with tomato ragout; fusilli; grated hard cheese,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-05-12/mensa-flugplatz_essen-2.jpg
Samosa – filled pastry pockets; hoisin sauce; basmati rice; spinach leaves,no,no,Meal 1,Vegan,Mensa Littenweiler,images/2025-05-12/mensa-littenweiler_essen-1.jpg
Sliced turkey in paprika sauce; mashed potatoes; creamed savoy cabbage,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-05-08/mensa-flugplatz_essen-2.jpg
"Steamed yeast dumpling with vanilla sauce, poppy‑seed butter and apple sauce",no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-05-07/mensa-flugplatz_essen-1.jpg
Sliced pork Zurich style; rissolé potatoes; herb pesto,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-05-06/mensa-flugplatz_essen-2.jpg
Carrot‑coconut soup with seeded bread roll,no,no,Quick plate,Vegan,Mensa Institutsviertel,images/2025-05-06/mensa-institutsviertel_schneller-teller.jpg
Penne all’arrabbiata; grated hard cheese,no,no,Quick plate,Vegan on request,Mensa Institutsviertel,images/2025-05-05/mensa-institutsviertel_schneller-teller.jpg
Baked marinated feta cheese in parchment; vegetable salad; pea guacamole; flatbread,no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-04-30/mensa-flugplatz_essen-2.jpg
Roasted chicken leg; herb yoghurt dip; French fries,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-04-29/mensa-flugplatz_essen-2.jpg
Organic beef roast with red‑wine sauce; potato croquettes; red cabbage,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-04-29/mensa-rempartstrae_essen-2.jpg
"Mixed salad with tomato, mozzarella and basil; Greek farmer’s salad; baguette",no,no,Meal 1,Vegan on request,Mensa Flugplatz,images/2025-04-28/mensa-flugplatz_essen-1.jpg
Hungarian‑style goulash with organic beef; butter noodles,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-04-28/mensa-flugplatz_essen-2.jpg
Breaded whiting fillet; tartar sauce; herb potatoes,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-04-25/mensa-flugplatz_essen-2.jpg
Pork steak with onion‑mustard crust; cream sauce; homemade spaetzle; green beans,no,no,Meal 2,Non-vegetarian,Mensa Flugplatz,images/2025-04-24/mensa-flugplatz_essen-2.jpg
Vegetable patty with white sauce and fresh mushrooms; mashed potatoes; baby carrots,no,no,Meal 1,Vegetarian,Mensa Flugplatz,images/2025-04-23/mensa-flugplatz_essen-1.jpg
Apple strudel with vanilla sauce and sour‑cherry compote,no,no,Meal 2,Vegetarian,Mensa Flugplatz,images/2025-04-23/mensa-flugplatz_essen-2.jpg
Pan of potato dumplings and vegetables with white sauce; pesto,no,no,Meal 1,Vegan,Mensa Flugplatz,images/2025-04-22/mensa-flugplatz_essen-1.jpg
Red noodle curry with lentils and pineapple,no,no,Quick plate,Vegan,Mensa Rempartstrae,images/2025-04-15/mensa-rempartstrae_schneller-teller.jpg
Organic beef roast with red‑wine sauce; homemade spaetzle; red cabbage,no,no,Meal 2,Non-vegetarian,Mensa Rempartstrae,images/2025-04-12/mensa-rempartstrae_essen-2.jpg
Mini spring rolls; sweet‑and‑sour sauce; long‑grain rice,no,no,Meal 2,Vegan,Mensa Flugplatz,images/2025-04-09/mensa-flugplatz_essen-2.jpg
Roasted vegetable Swabian dumplings with egg; tomato sauce; potato‑cucumber salad,no,no,Meal 1,Vegetarian,Mensa Institutsviertel,images/2025-04-07/mensa-institutsviertel_essen-1.jpg
Colourful tortellini with creamy cheese sauce,no,no,Meal 1,Vegetarian,Mensa Rempartstrae,images/2025-04-03/mensa-rempartstrae_essen-1.jpg
Sliced soy in Zurich sauce; rigatoni; baby carrots,no,no,Meal 1,Vegan,Mensa Institutsviertel,images/2025-03-17/mensa-institutsviertel_essen-1.jpg
"Mediterranean bowl: olives, basil, zucchini, bean cream, pesto, organic couscous with vegetables, Ebly soft wheat, diced tomatoes",no,no,Meal 2,Vegan,Mensa Institutsviertel,images/2025-03-12/mensa-institutsviertel_essen-2.jpg
Lentil balls with sesame dip; organic baked potatoes; California coleslaw,no,no,Meal 1,Vegan,Mensa Rempartstrae,images/2025-03-07/mensa-rempartstrae_essen-1.jpg
Chickpea polenta with ratatouille; sheep’s cheese with mint,no,no,Meal 1,Vegetarian,Mensa Littenweiler,images/2024-05-22/mensa-littenweiler_essen-1.jpg
Tortellini filled with ricotta and spinach in basil cheese sauce; spring onions; diced tomatoes; grated Emmental,,,,,,aug/mensa-flugplatz_essen-2_aug0000.jpg
Tortellini filled with ricotta and spinach in basil cheese sauce; spring onions; diced tomatoes; grated Emmental,,,,,,aug/mensa-flugplatz_essen-2_aug0001.jpg
Tortellini filled with ricotta and spinach in basil cheese sauce; spring onions; diced tomatoes; grated Emmental,,,,,,aug/mensa-flugplatz_essen-2_aug0002.jpg
Tortellini filled with ricotta and spinach in basil cheese sauce; spring onions; diced tomatoes; grated Emmental,,,,,,aug/mensa-flugplatz_essen-2_aug0003.jpg
Pasta with tomatoes on top ,,,,,,aug/mensa-flugplatz_essen-3_aug0004.jpg
Pasta with tomatoes on top ,,,,,,aug/mensa-flugplatz_essen-3_aug0005.jpg
Pasta with tomatoes on top ,,,,,,aug/mensa-flugplatz_essen-3_aug0006.jpg
Pasta with tomatoes on top ,,,,,,aug/mensa-flugplatz_essen-3_aug0007.jpg
"Thick‑cut fries with pea‑protein chilli, jalapeños, rocket, garlic oil, chilli oil and grated cheese",,,,,,aug/mensa-flugplatz_wochenangebot_aug0008.jpg
"Thick‑cut fries with pea‑protein chilli, jalapeños, rocket, garlic oil, chilli oil and grated cheese",,,,,,aug/mensa-flugplatz_wochenangebot_aug0009.jpg
"Thick‑cut fries with pea‑protein chilli, jalapeños, rocket, garlic oil, chilli oil and grated cheese",,,,,,aug/mensa-flugplatz_wochenangebot_aug0010.jpg
"Thick‑cut fries with pea‑protein chilli, jalapeños, rocket, garlic oil, chilli oil and grated cheese",,,,,,aug/mensa-flugplatz_wochenangebot_aug0011.jpg
Curry sausage or Planted™ curry sausage; French fries,,,,,,aug/mensa-rempartstrae_wochenangebot_aug0020.jpg
Curry sausage or Planted™ curry sausage; French fries,,,,,,aug/mensa-rempartstrae_wochenangebot_aug0021.jpg
Curry sausage or Planted™ curry sausage; French fries,,,,,,aug/mensa-rempartstrae_wochenangebot_aug0022.jpg
Curry sausage or Planted™ curry sausage; French fries,,,,,,aug/mensa-rempartstrae_wochenangebot_aug0023.jpg
Mini spring rolls; sweet‑and‑sour sauce; basmati rice,,,,,,aug/mensa-littenweiler_essen-1_aug0024.jpg
Mini spring rolls; sweet‑and‑sour sauce; basmati rice,,,,,,aug/mensa-littenweiler_essen-1_aug0025.jpg
Mini spring rolls; sweet‑and‑sour sauce; basmati rice,,,,,,aug/mensa-littenweiler_essen-1_aug0026.jpg
Mini spring rolls; sweet‑and‑sour sauce; basmati rice,,,,,,aug/mensa-littenweiler_essen-1_aug0027.jpg
Zucchini kofta; herb yoghurt dip; Greek farmer’s salad; flatbread,,,,,,aug/mensa-rempartstrae_essen-1_aug0012.jpg
Zucchini kofta; herb yoghurt dip; Greek farmer’s salad; flatbread,,,,,,aug/mensa-rempartstrae_essen-1_aug0013.jpg
Zucchini kofta; herb yoghurt dip; Greek farmer’s salad; flatbread,,,,,,aug/mensa-rempartstrae_essen-1_aug0014.jpg
Zucchini kofta; herb yoghurt dip; Greek farmer’s salad; flatbread,,,,,,aug/mensa-rempartstrae_essen-1_aug0015.jpg
"Pasta salad with olives, sun‑dried tomatoes and basil, served with wiener sausages or organic tofu mini‑sausages",,,,,,aug/mensa-rempartstrae_schneller-teller_aug0016.jpg
"Pasta salad with olives, sun‑dried tomatoes and basil, served with wiener sausages or organic tofu mini‑sausages",,,,,,aug/mensa-rempartstrae_schneller-teller_aug0017.jpg
"Pasta salad with olives, sun‑dried tomatoes and basil, served with wiener sausages or organic tofu mini‑sausages",,,,,,aug/mensa-rempartstrae_schneller-teller_aug0018.jpg
"Pasta salad with olives, sun‑dried tomatoes and basil, served with wiener sausages or organic tofu mini‑sausages",,,,,,aug/mensa-rempartstrae_schneller-teller_aug0019.jpg
"Hamburger TS with beef, cheese, tomato, lettuce; French fries",,,,,,aug/mensa-littenweiler_essen-2_aug0028.jpg
"Hamburger TS with beef, cheese, tomato, lettuce; French fries",,,,,,aug/mensa-littenweiler_essen-2_aug0029.jpg
"Hamburger TS with beef, cheese, tomato, lettuce; French fries",,,,,,aug/mensa-littenweiler_essen-2_aug0030.jpg
"Hamburger TS with beef, cheese, tomato, lettuce; French fries",,,,,,aug/mensa-littenweiler_essen-2_aug0031.jpg
Kaiserschmarrn (shredded pancake) with apple sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0032.jpg
Kaiserschmarrn (shredded pancake) with apple sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0033.jpg
Kaiserschmarrn (shredded pancake) with apple sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0034.jpg
Kaiserschmarrn (shredded pancake) with apple sauce,,,,,,aug/mensa-flugplatz_essen-1_aug0035.jpg
Vegetable‑filled cannelloni with cheese crust; tomato sauce; herb pesto,,,,,,aug/mensa-rempartstrae_essen-1_aug0040.jpg
Vegetable‑filled cannelloni with cheese crust; tomato sauce; herb pesto,,,,,,aug/mensa-rempartstrae_essen-1_aug0041.jpg
Vegetable‑filled cannelloni with cheese crust; tomato sauce; herb pesto,,,,,,aug/mensa-rempartstrae_essen-1_aug0042.jpg
Vegetable‑filled cannelloni with cheese crust; tomato sauce; herb pesto,,,,,,aug/mensa-rempartstrae_essen-1_aug0043.jpg
